Breaking Bad,1,1,Pilot,2008-01-20
Breaking Bad,1,1,Pilot,2008-01-20
Breaking Bad,1,2,Cat's in the Bag...,2008-01-27
Breaking Bad,1,2,,2008-01-27
Breaking Bad,one,2,,2008-01-27
Breaking Bad,1,3,...And the Bag's in the River,2008-02-10
Breaking Bad,1,3,...And the Bag's in the River,not a date
Breaking Bad,2,1,Seven Thirty-Seven,2009-03-08
Breaking Bad,2,1,Seven Thirty Seven,2009-03-08

Lost,,1,Pilot,2004-09-22
Lost,1,1,Pilot,2004-09-22
Lost,1,1,,not a date
Lost,1,2,Tabula Rasa,2004-09-29
Lost,1,2,Tabula Rasa,2004-09-29
Lost,1,three,Walkabout,2004-10-06
Lost,1,3,Walkabout,2004-10-06
Lost,1,4,,2004-10-13

Game of Thrones,1,1,Winter Is Coming,2011-04-17
Game of Thrones,1,1,Winter Is Coming,2011-04-17
Game of Thrones,1,2,The Kingsroad,2011-04-24
Game of Thrones,1,2,The Kings Road,2011-04-24
Game of Thrones,1,3,Lord Snow,2011-05-01
Game of Thrones,1,,Lord Snow,2011-05-01
Game of Thrones,-1,4,"Cripples, Bastards, and Broken Things",2011-05-08

Stranger Things,1,1,The Vanishing of Will Byers,2016-07-15
Stranger Things,1,1,The Vanishing of Will Byers,2016-07-15
Stranger Things,1,2,The Weirdo on Maple Street,2016-07-15
Stranger Things,1,2,,2016-07-15
Stranger Things,1,3,Holly Jolly,not a date
Stranger Things,1,3,Holly Jolly,2016-07-15
Stranger Things,1,4,,

The Office,1,1,Pilot,2005-03-24
The Office,1,1,Pilot,2005-03-24
The Office,1,2,Diversity Day,2005-03-29
The Office,1,2,Diversity Day,2005-03-29
The Office,1,3,Health Care,2005-04-05
The Office,1,3,,2005-04-05

,1,2,Episode,2000-01-01
, , , ,